ALUMNO ID,GRUPO,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15
1,4.1,1,1,1,0,0,1,0,1,0,1,1,0,0,1,0
2,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4.1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0
4,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,4.1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0
6,4.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,4.1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0
8,4.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,4.1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0
10,4.1,1,1,1,0,1,1,0,1,0,1,1,1,0,0,1
11,4.1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1
12,4.1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,0
13,4.1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0
14,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4.1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,4.1,1,1,1,0,1,0,1,0,1,0,0,1,1,0,0
17,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,4.1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,1
20,4.1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,1
21,4.1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1
22,4.1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
23,4.1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0
24,4.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,4.1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1
26,4.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,4.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,4.1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1
29,4.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,4.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
32,4.1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1
33,4.1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
34,4.1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
35,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,4.1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1
37,4.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
38,4.1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0
39,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,4.1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,0
41,4.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,4.1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1
43,4.1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
44,4.1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
45,4.1,0,1,1,0,1,1,0,1,0,0,0,0,1,1,0
46,4.1,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1
47,4.1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
48,4.1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,0
49,4.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
50,4.1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0
1,4.4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
2,4.4,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0
3,4.4,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
4,4.4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
5,4.4,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
6,4.4,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
7,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,4.4,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
9,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,4.4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
11,4.4,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
12,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
13,4.4,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
14,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
15,4.4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
16,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
17,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
18,4.4,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
19,4.4,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20,4.4,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
21,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
22,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
23,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
24,4.4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
25,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
27,4.4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
28,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
29,4.4,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
30,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
31,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
32,4.4,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
33,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
36,4.4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
